question,answer,category,keywords
"How do I reset my password?","You can reset your password by clicking 'Forgot Password' on the login page and following the email instructions.","account","password reset forgot login"
"What are your business hours?","Our customer support is available Monday to Friday, 9 AM to 6 PM EST.","general","hours time support available"
"How can I contact technical support?","You can reach technical support by emailing tech@unthinkable.com or calling our support line at 1-800-SUPPORT.","support","technical support contact help phone"
"What is your refund policy?","We offer a 30-day money-back guarantee for all our services. Contact billing@unthinkable.com for refund requests.","billing","refund money guarantee billing policy"
"How do I update my billing information?","You can update your billing information by logging into your account and going to the Billing section in Settings.","billing","billing payment update credit card settings"
"What services do you offer?","We offer AI solutions, software development, cloud services, and digital transformation consulting.","services","services AI software cloud consulting"
"How do I cancel my subscription?","You can cancel your subscription by going to Account Settings > Subscription > Cancel. Cancellation takes effect at the end of your billing cycle.","billing","cancel subscription account settings"
"Is there a free trial available?","Yes, we offer a 14-day free trial for new customers. No credit card required to start.","general","trial free new credit card"
"How do I contact customer service?","You can contact customer service by emailing support@unthinkable.com or calling 1-800-SUPPORT during business hours.","support","customer service contact support email phone"
"What payment methods do you accept?","We accept all major credit cards (Visa, MasterCard, American Express), PayPal, and bank transfers.","billing","payment methods credit card PayPal bank transfer"
